Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,0.1u,
C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,4.7u,
"D0, D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D7, D8, D9",D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,65,D,
D_RGB1,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,WS2812B,
"D_RGB10, D_RGB11, D_RGB12, D_RGB13, D_RGB2, D_RGB3, D_RGB4, D_RGB5, D_RGB6, D_RGB7, D_RGB8, D_RGB9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12,WS2812B,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965,4,MountingHole,
K0,SW_Cherry_MX_PCB_1.00u,1,Home,
K1,SW_Cherry_MX_PCB_1.00u,1,Tab,
K10,SW_Cherry_MX_PCB_1.00u,1,O,
K11,SW_Cherry_MX_PCB_1.00u,1,P,
K12,SW_Cherry_MX_PCB_1.00u,1,Back Space,
K13,SW_Cherry_MX_PCB_1.00u,1,Delete,
K14,SW_Cherry_MX_PCB_1.00u,1,1,
K15,SW_Cherry_MX_PCB_1.00u,1,2,
K16,SW_Cherry_MX_PCB_1.00u,1,3,
K17,SW_Cherry_MX_PCB_1.00u,1,End,
K18,SW_Cherry_MX_PCB_1.00u,1,Esc,
K19,SW_Cherry_MX_PCB_1.00u,1,A,
K2,SW_Cherry_MX_PCB_1.00u,1,Q,
K20,SW_Cherry_MX_PCB_1.00u,1,S,
K21,SW_Cherry_MX_PCB_1.00u,1,D,
K22,SW_Cherry_MX_PCB_1.00u,1,F,
K23,SW_Cherry_MX_PCB_1.00u,1,G,
K24,SW_Cherry_MX_PCB_1.00u,1,H,
K25,SW_Cherry_MX_PCB_1.00u,1,J,
K26,SW_Cherry_MX_PCB_1.00u,1,K,
K27,SW_Cherry_MX_PCB_1.00u,1,L,
K28,SW_Cherry_MX_PCB_1.00u,1,;,
K29,SW_Cherry_MX_PCB_1.00u,1,',
K3,SW_Cherry_MX_PCB_1.00u,1,W,
K30,SW_Cherry_MX_PCB_1.00u,1,Return,
K31,SW_Cherry_MX_PCB_1.00u,1,4,
K32,SW_Cherry_MX_PCB_1.00u,1,5,
K33,SW_Cherry_MX_PCB_1.00u,1,6,
K34,SW_Cherry_MX_PCB_1.00u,1,Vol +,
"K35, K46",SW_Cherry_MX_PCB_1.00u,2,Shift,
K36,SW_Cherry_MX_PCB_1.00u,1,Z,
K37,SW_Cherry_MX_PCB_1.00u,1,X,
K38,SW_Cherry_MX_PCB_1.00u,1,C,
K39,SW_Cherry_MX_PCB_1.00u,1,V,
K4,SW_Cherry_MX_PCB_1.00u,1,E,
K40,SW_Cherry_MX_PCB_1.00u,1,B,
K41,SW_Cherry_MX_PCB_1.00u,1,N,
K42,SW_Cherry_MX_PCB_1.00u,1,M,
K43,SW_Cherry_MX_PCB_1.00u,1,",",
K44,SW_Cherry_MX_PCB_1.00u,1,.,
K45,SW_Cherry_MX_PCB_1.00u,1,/,
K47,SW_Cherry_MX_PCB_1.00u,1,7,
K48,SW_Cherry_MX_PCB_1.00u,1,8,
K49,SW_Cherry_MX_PCB_1.00u,1,9,
K5,SW_Cherry_MX_PCB_1.00u,1,R,
K50,SW_Cherry_MX_PCB_1.00u,1,&uarr;,
K51,SW_Cherry_MX_PCB_1.00u,1,Vol -,
K52,SW_Cherry_MX_PCB_1.25u,1,Ctrl,
"K53, K58",SW_Cherry_MX_PCB_1.25u,2,Alt,
K54,SW_Cherry_MX_PCB_1.25u,1,Super,
K55,SW_Cherry_MX_PCB_1.25u,1,&dArr;,
K56,SW_Cherry_MX_PCB_2.00u,1,Blank,
K57,SW_Cherry_MX_PCB_1.25u,1,&uArr;,
K59,SW_Cherry_MX_PCB_1.25u,1,Fn,
K6,SW_Cherry_MX_PCB_1.00u,1,T,
K60,SW_Cherry_MX_PCB_1.00u,1,0,
K61,SW_Cherry_MX_PCB_1.00u,1,Enter,
K62,SW_Cherry_MX_PCB_1.00u,1,&larr;,
K63,SW_Cherry_MX_PCB_1.00u,1,&darr;,
K64,SW_Cherry_MX_PCB_1.00u,1,&rarr;,
K7,SW_Cherry_MX_PCB_1.00u,1,Y,
K8,SW_Cherry_MX_PCB_1.00u,1,U,
K9,SW_Cherry_MX_PCB_1.00u,1,I,
U1,RPi_Pico_SMD_TH,1,Pico,
